"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,50,0,0,"Egerkingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2402,50,0,0,"Härkingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2403,50,0,0,"Kestenholz SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2404,50,0,0,"Neuendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2405,50,0,0,"Niederbuchsiten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2406,50,0,0,"Oberbuchsiten SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2407,50,0,0,"Oensingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2408,50,0,0,"Wolfwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2421,50,0,0,"Aedermannsdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2422,50,0,0,"Balsthal SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2424,50,0,0,"Herbetswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2425,50,0,0,"Holderbank SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2426,50,0,0,"Laupersdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2427,50,0,0,"Matzendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2428,50,0,0,"Mümliswil-Ramiswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2430,50,0,0,"Welschenrohr-Gänsbrunnen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2445,50,0,0,"Biezwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2455,50,0,0,"Lüterkofen-Ichertswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2457,50,0,0,"Messen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2461,50,0,0,"Schnottwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2463,50,0,0,"Unterramsern SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2464,50,0,0,"Lüsslingen-Nennigkofen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2465,50,0,0,"Buchegg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2471,50,0,0,"Bättwil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2472,50,0,0,"Büren SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2473,50,0,0,"Dornach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2474,50,0,0,"Gempen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2475,50,0,0,"Hochwald SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2476,50,0,0,"Hofstetten-Flüh SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2477,50,0,0,"Metzerlen-Mariastein SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2478,50,0,0,"Nuglar-St. Pantaleon SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2479,50,0,0,"Rodersdorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2480,50,0,0,"Seewen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2481,50,0,0,"Witterswil SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2491,50,0,0,"Hauenstein-Ifenthal SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2492,50,0,0,"Kienberg SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2493,50,0,0,"Lostorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2495,50,0,0,"Niedergösgen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2497,50,0,0,"Obergösgen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2499,50,0,0,"Stüsslingen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2500,50,0,0,"Trimbach SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2501,50,0,0,"Winznau SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2502,50,0,0,"Wisen SO","Die Resultate dieser Gemeinde sind noch nicht bekannt."
