"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,50,0,0,"Glarus Nord GL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1631,50,0,0,"Glarus Süd GL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1632,50,0,0,"Glarus GL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2901,50,0,0,"Gächlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2903,50,0,0,"Löhningen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2904,50,0,0,"Neunkirch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2914,50,0,0,"Büttenhardt SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2915,50,0,0,"Dörflingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2917,50,0,0,"Lohn SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2919,50,0,0,"Stetten SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2920,50,0,0,"Thayngen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2931,50,0,0,"Bargen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2932,50,0,0,"Beringen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2933,50,0,0,"Buchberg SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2936,50,0,0,"Merishausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2937,50,0,0,"Neuhausen am Rheinfall SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2938,50,0,0,"Rüdlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2939,50,0,0,"Schaffhausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2951,50,0,0,"Beggingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2952,50,0,0,"Schleitheim SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2953,50,0,0,"Siblingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2961,50,0,0,"Buch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2962,50,0,0,"Hemishofen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2963,50,0,0,"Ramsen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2964,50,0,0,"Stein am Rhein SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2971,50,0,0,"Hallau SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2972,50,0,0,"Oberhallau SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2973,50,0,0,"Trasadingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2974,50,0,0,"Wilchingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3001,50,0,0,"Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3002,50,0,0,"Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3003,50,0,0,"Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3004,50,0,0,"Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3005,50,0,0,"Stein AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3006,50,0,0,"Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3007,50,0,0,"Waldstatt AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3021,50,0,0,"Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3022,50,0,0,"Gais AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3023,50,0,0,"Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3024,50,0,0,"Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3025,50,0,0,"Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3031,50,0,0,"Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3032,50,0,0,"Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3033,50,0,0,"Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3034,50,0,0,"Rehetobel AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3035,50,0,0,"Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3036,50,0,0,"Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3037,50,0,0,"Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3038,50,0,0,"Wolfhalden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3101,50,0,0,"Appenzell AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3102,50,0,0,"Gonten AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3104,50,0,0,"Schlatt-Haslen AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3111,50,0,0,"Oberegg AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3112,50,0,0,"Schwende-Rüti AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3201,50,0,0,"Häggenschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3202,50,0,0,"Muolen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3203,50,0,0,"St. Gallen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3204,50,0,0,"Wittenbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3211,50,0,0,"Berg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3212,50,0,0,"Eggersriet SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3213,50,0,0,"Goldach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3214,50,0,0,"Mörschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3215,50,0,0,"Rorschach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3216,50,0,0,"Rorschacherberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3217,50,0,0,"Steinach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3218,50,0,0,"Tübach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3219,50,0,0,"Untereggen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3231,50,0,0,"Au SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3232,50,0,0,"Balgach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3233,50,0,0,"Berneck SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3234,50,0,0,"Diepoldsau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3235,50,0,0,"Rheineck SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3236,50,0,0,"St. Margrethen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3237,50,0,0,"Thal SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3238,50,0,0,"Widnau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3251,50,0,0,"Altstätten SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3252,50,0,0,"Eichberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3253,50,0,0,"Marbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3254,50,0,0,"Oberriet SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3255,50,0,0,"Rebstein SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3256,50,0,0,"Rüthi SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3271,50,0,0,"Buchs SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3272,50,0,0,"Gams SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3273,50,0,0,"Grabs SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3274,50,0,0,"Sennwald SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3275,50,0,0,"Sevelen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3276,50,0,0,"Wartau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3291,50,0,0,"Bad Ragaz SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3292,50,0,0,"Flums SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3293,50,0,0,"Mels SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3294,50,0,0,"Pfäfers SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3295,50,0,0,"Quarten SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3296,50,0,0,"Sargans SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3297,50,0,0,"Vilters-Wangs SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3298,50,0,0,"Walenstadt SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3311,50,0,0,"Amden SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3312,50,0,0,"Benken SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3313,50,0,0,"Kaltbrunn SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3315,50,0,0,"Schänis SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3316,50,0,0,"Weesen SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3338,50,0,0,"Schmerikon SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3339,50,0,0,"Uznach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3340,50,0,0,"Rapperswil-Jona SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3341,50,0,0,"Gommiswald SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3342,50,0,0,"Eschenbach SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3352,50,0,0,"Ebnat-Kappel SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3359,50,0,0,"Wildhaus-Alt St. Johann SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3360,50,0,0,"Nesslau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3374,50,0,0,"Lichtensteig SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3379,50,0,0,"Wattwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3392,50,0,0,"Kirchberg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3393,50,0,0,"Lütisburg SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3394,50,0,0,"Mosnang SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3395,50,0,0,"Bütschwil-Ganterschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3396,50,0,0,"Neckertal SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3401,50,0,0,"Degersheim SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3402,50,0,0,"Flawil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3405,50,0,0,"Jonschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3407,50,0,0,"Oberuzwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3408,50,0,0,"Uzwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3422,50,0,0,"Niederbüren SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3423,50,0,0,"Niederhelfenschwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3424,50,0,0,"Oberbüren SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3426,50,0,0,"Zuzwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3427,50,0,0,"Wil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3441,50,0,0,"Andwil SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3442,50,0,0,"Gaiserwald SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3443,50,0,0,"Gossau SG","Die Resultate dieser Gemeinde sind noch nicht bekannt."
