"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
42.5,57.5,"<b>Totalrevision des Energiegesetzes (EnG SO): ❌Nein</b>","<b>NA: ❌non</b>","<b>NA: ❌no</b>"
41.9,58.1,"<b>Gesetzesinitiative «Mindestlohn-Initiative»: ❌Nein</b>","<b>NA: ❌non</b>","<b>NA: ❌no</b>"
