"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,48.1,48.1,51.9,"Basel BS","Nein zur Umweltverantwortungsinitiative in Basel: Die Gemeinde hat die Vorlage mit 51,9 Prozent abgelehnt."
2702,17.3,17.3,82.7,"Bettingen BS","In Bettingen hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 82,7 Prozent verworfen. Bettingen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Basel-Stadt."
2703,29.4,29.4,70.6,"Riehen BS","Nein zur Umweltverantwortungsinitiative in Riehen: Die Gemeinde hat die Vorlage mit 70,6 Prozent abgelehnt. Riehen hat damit gleich wie der Kanton Basel-Stadt Nein gesagt zu dieser Vorlage."
