"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1001,7.1,7.1,92.9,"Doppleschwand (LU)",
1002,10.1,10.1,89.9,"Entlebuch (LU)",
1004,4.7,4.7,95.3,"Flühli (LU)",
1005,9.1,9.1,90.9,"Hasle (LU)",
1007,8.8,8.8,91.2,"Romoos (LU)",
1008,15.1,15.1,84.9,"Schüpfheim (LU)",
1009,11.4,11.4,88.6,"Werthenstein (LU)",
1010,8.2,8.2,91.8,"Escholzmatt-Marbach (LU)",
1021,9.1,9.1,90.9,"Aesch (LU)",
1023,13.4,13.4,86.6,"Ballwil (LU)",
1024,20.4,20.4,79.6,"Emmen (LU)",
1025,11.9,11.9,88.1,"Ermensee (LU)",
1026,16.8,16.8,83.2,"Eschenbach (LU)",
1030,15,15,85,"Hitzkirch (LU)",
1031,17.3,17.3,82.7,"Hochdorf (LU)",
1032,12,12,88,"Hohenrain (LU)",
1033,12.2,12.2,87.8,"Inwil (LU)",
1037,13.2,13.2,86.8,"Rain (LU)",
1039,13.8,13.8,86.2,"Römerswil (LU)",
1040,18.6,18.6,81.4,"Rothenburg (LU)",
1041,11.3,11.3,88.7,"Schongau (LU)",
1051,24.3,24.3,75.7,"Adligenswil (LU)",
1052,19.4,19.4,80.6,"Buchrain (LU)",
1053,22.2,22.2,77.8,"Dierikon (LU)",
1054,21.5,21.5,78.5,"Ebikon (LU)",
1055,14.8,14.8,85.2,"Gisikon (LU)",
1056,17.4,17.4,82.6,"Greppen (LU)",
1058,25.7,25.7,74.3,"Horw (LU)",
1059,25.6,25.6,74.4,"Kriens (LU)",
1061,34.7,34.7,65.3,"Lucerna (LU)",
1062,17.7,17.7,82.3,"Malters (LU)",
1063,18.3,18.3,81.7,"Meggen (LU)",
1064,13,13,87,"Meierskappel (LU)",
1065,16.9,16.9,83.1,"Root (LU)",
1066,12.1,12.1,87.9,"Schwarzenberg (LU)",
1067,19.6,19.6,80.4,"Udligenswil (LU)",
1068,18.2,18.2,81.8,"Vitznau (LU)",
1069,14.5,14.5,85.5,"Weggis (LU)",
1081,15.1,15.1,84.9,"Beromünster (LU)",
1082,11.5,11.5,88.5,"Büron (LU)",
1083,14.1,14.1,85.9,"Buttisholz (LU)",
1084,11.7,11.7,88.3,"Eich (LU)",
1085,17.2,17.2,82.8,"Geuensee (LU)",
1086,11.4,11.4,88.6,"Grosswangen (LU)",
1088,12.9,12.9,87.1,"Hildisrieden (LU)",
1089,14.3,14.3,85.7,"Knutwil (LU)",
1091,22,22,78,"Mauensee (LU)",
1093,18.2,18.2,81.8,"Neuenkirch (LU)",
1094,18.4,18.4,81.6,"Nottwil (LU)",
1095,19.9,19.9,80.1,"Oberkirch (LU)",
1097,11.9,11.9,88.1,"Rickenbach (LU)",
1098,13.9,13.9,86.1,"Ruswil (LU)",
1099,13.9,13.9,86.1,"Schenkon (LU)",
1100,11.1,11.1,88.9,"Schlierbach (LU)",
1102,21.1,21.1,78.9,"Sempach (LU)",
1103,25,25,75,"Sursee (LU)",
1104,11.4,11.4,88.6,"Triengen (LU)",
1107,13.9,13.9,86.1,"Wolhusen (LU)",
1121,14.6,14.6,85.4,"Alberswil (LU)",
1122,11.3,11.3,88.7,"Altbüron (LU)",
1123,11.2,11.2,88.8,"Altishofen (LU)",
1125,13.7,13.7,86.3,"Dagmersellen (LU)",
1127,14.1,14.1,85.9,"Egolzwil (LU)",
1128,8.4,8.4,91.6,"Ettiswil (LU)",
1129,6.9,6.9,93.1,"Fischbach (LU)",
1131,13.2,13.2,86.8,"Grossdietwil (LU)",
1132,5.1,5.1,94.9,"Hergiswil bei Willisau (LU)",
1135,5.9,5.9,94.1,"Luthern (LU)",
1136,9.8,9.8,90.2,"Menznau (LU)",
1137,11.6,11.6,88.4,"Nebikon (LU)",
1139,13.4,13.4,86.6,"Pfaffnau (LU)",
1140,12.2,12.2,87.8,"Reiden (LU)",
1142,9.5,9.5,90.5,"Roggliswil (LU)",
1143,17,17,83,"Schötz (LU)",
1145,6.9,6.9,93.1,"Ufhusen (LU)",
1146,16.3,16.3,83.7,"Wauwil (LU)",
1147,13.2,13.2,86.8,"Wikon (LU)",
1150,12.7,12.7,87.3,"Zell (LU) (LU)",
1151,14.7,14.7,85.3,"Willisau (LU)",
