"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,23,23,77,"Aarberg (BE)",
302,13.8,13.8,86.2,"Bargen (BE)",
303,20,20,80,"Grossaffoltern (BE)",
304,13.7,13.7,86.3,"Kallnach (BE)",
305,12.1,12.1,87.9,"Kappelen (BE)",
306,21.2,21.2,78.8,"Lyss (BE)",
307,30.1,30.1,69.9,"Meikirch (BE)",
309,16.6,16.6,83.4,"Radelfingen (BE)",
310,19.2,19.2,80.8,"Rapperswil (BE)",
311,23,23,77,"Schüpfen (BE)",
312,16.7,16.7,83.3,"Seedorf (BE)",
321,15.1,15.1,84.9,"Aarwangen (BE)",
322,17.3,17.3,82.7,"Auswil (BE)",
323,16.3,16.3,83.7,"Bannwil (BE)",
324,10.1,10.1,89.9,"Bleienbach (BE)",
325,23.4,23.4,76.6,"Busswil bei Melchnau (BE)",
326,9.7,9.7,90.3,"Gondiswil (BE)",
329,23.9,23.9,76.1,"Langenthal (BE)",
331,18.6,18.6,81.4,"Lotzwil (BE)",
332,15.7,15.7,84.3,"Madiswil (BE)",
333,15.1,15.1,84.9,"Melchnau (BE)",
335,15,15,85,"Oeschenbach (BE)",
336,7.1,7.1,92.9,"Reisiswil (BE)",
337,15.8,15.8,84.2,"Roggwil (BE)",
338,14.5,14.5,85.5,"Rohrbach (BE)",
339,13.7,13.7,86.3,"Rohrbachgraben (BE)",
340,11.5,11.5,88.5,"Rütschelen (BE)",
341,16.4,16.4,83.6,"Schwarzhäusern (BE)",
342,15.5,15.5,84.5,"Thunstetten (BE)",
344,10.7,10.7,89.3,"Ursenbach (BE)",
345,14,14,86,"Wynau (BE)",
351,51.1,51.1,48.9,"Berna (BE)",
352,28.7,28.7,71.3,"Bolligen (BE)",
353,37.5,37.5,62.5,"Bremgarten bei Bern (BE)",
354,29.4,29.4,70.6,"Kirchlindach (BE)",
355,37.6,37.6,62.4,"Köniz (BE)",
356,27.1,27.1,72.9,"Muri bei Bern (BE)",
357,19.2,19.2,80.8,"Oberbalm (BE)",
358,27.4,27.4,72.6,"Stettlen (BE)",
359,22.3,22.3,77.7,"Vechigen (BE)",
360,33,33,67,"Wohlen bei Bern (BE)",
361,31.2,31.2,68.8,"Zollikofen (BE)",
362,27.9,27.9,72.1,"Ittigen (BE)",
363,34,34,66,"Ostermundigen (BE)",
371,42.2,42.2,57.8,"Bienne (BE)",
372,30.4,30.4,69.6,"Evilard (BE)",
381,11.7,11.7,88.3,"Arch (BE)",
382,16.7,16.7,83.3,"Büetigen (BE)",
383,19.9,19.9,80.1,"Büren an der Aare (BE)",
385,19.3,19.3,80.7,"Diessbach bei Büren (BE)",
386,19.9,19.9,80.1,"Dotzigen (BE)",
387,17.2,17.2,82.8,"Longeau (BE)",
388,11.7,11.7,88.3,"Leuzigen (BE)",
390,11.7,11.7,88.3,"Meinisberg (BE)",
391,18.8,18.8,81.2,"Oberwil bei Büren (BE)",
392,16.9,16.9,83.1,"Perles (BE)",
393,11.9,11.9,88.1,"Rüti bei Büren (BE)",
394,9,9,91,"Wengi (BE)",
401,13.2,13.2,86.8,"Aefligen (BE)",
402,10.5,10.5,89.5,"Alchenstorf (BE)",
403,14.5,14.5,85.5,"Bäriswil (BE)",
404,33.1,33.1,66.9,"Berthoud (BE)",
405,15,15,85,"Ersigen (BE)",
406,19,19,81,"Hasle bei Burgdorf (BE)",
407,14.3,14.3,85.7,"Heimiswil (BE)",
409,19.4,19.4,80.6,"Hindelbank (BE)",
410,12.4,12.4,87.6,"Höchstetten (BE)",
411,20.9,20.9,79.1,"Kernenried (BE)",
412,17.9,17.9,82.1,"Kirchberg (BE)",
413,13.9,13.9,86.1,"Koppigen (BE)",
414,14.6,14.6,85.4,"Krauchthal (BE)",
415,21.9,21.9,78.1,"Lyssach (BE)",
418,18.1,18.1,81.9,"Oberburg (BE)",
420,12.2,12.2,87.8,"Rüdtligen-Alchenflüh (BE)",
421,9.4,9.4,90.6,"Rumendingen (BE)",
422,19.1,19.1,80.9,"Rüti bei Lyssach (BE)",
423,2.8,2.8,97.2,"Willadingen (BE)",
424,14,14,86,"Wynigen (BE)",
431,20.9,20.9,79.1,"Corgémont (BE)",
432,32.1,32.1,67.9,"Cormoret (BE)",
433,22,22,78,"Cortébert (BE)",
434,24.3,24.3,75.7,"Courtelary (BE)",
435,20,20,80,"La Ferrière (BE)",
437,22.9,22.9,77.1,"Mont-Tramelan (BE)",
438,23.9,23.9,76.1,"Orvin (BE)",
441,20.1,20.1,79.9,"Renan (BE)",
442,23.2,23.2,76.8,"Romont (BE)",
443,26.6,26.6,73.4,"Saint-Imier (BE)",
444,17.6,17.6,82.4,"Sonceboz-Sombeval (BE)",
445,23.7,23.7,76.3,"Sonvilier (BE)",
446,26.1,26.1,73.9,"Tramelan (BE)",
448,34.8,34.8,65.2,"Villeret (BE)",
449,31.4,31.4,68.6,"Sauge (BE)",
450,17.8,17.8,82.2,"Péry-La Heutte (BE)",
491,16.1,16.1,83.9,"Brüttelen (BE)",
492,22.7,22.7,77.3,"Cerlier (BE)",
493,15.3,15.3,84.7,"Finsterhennen (BE)",
494,17.5,17.5,82.5,"Gals (BE)",
495,20.8,20.8,79.2,"Gampelen (BE)",
496,23.9,23.9,76.1,"Anet (BE)",
497,15.1,15.1,84.9,"Lüscherz (BE)",
498,13.8,13.8,86.2,"Müntschemier (BE)",
499,13.8,13.8,86.2,"Siselen (BE)",
500,8.5,8.5,91.5,"Treiten (BE)",
501,27,27,73,"Tschugg (BE)",
502,20,20,80,"Vinelz (BE)",
533,23.2,23.2,76.8,"Bätterkinden (BE)",
538,22,22,78,"Fraubrunnen (BE)",
540,22.8,22.8,77.2,"Jegenstorf (BE)",
541,18.4,18.4,81.6,"Iffwil (BE)",
543,17.6,17.6,82.4,"Mattstetten (BE)",
544,19.9,19.9,80.1,"Moosseedorf (BE)",
546,25.2,25.2,74.8,"Münchenbuchsee (BE)",
551,22.7,22.7,77.3,"Urtenen-Schönbühl (BE)",
552,18.6,18.6,81.4,"Utzenstorf (BE)",
553,22.1,22.1,77.9,"Wiggiswil (BE)",
554,15.6,15.6,84.4,"Wiler bei Utzenstorf (BE)",
556,4.6,4.6,95.4,"Zielebach (BE)",
557,21.9,21.9,78.1,"Zuzwil (BE)",
561,9.2,9.2,90.8,"Adelboden (BE)",
562,15.4,15.4,84.6,"Aeschi bei Spiez (BE)",
563,12.4,12.4,87.6,"Frutigen (BE)",
564,9.9,9.9,90.1,"Kandergrund (BE)",
565,19.7,19.7,80.3,"Kandersteg (BE)",
566,16.4,16.4,83.6,"Krattigen (BE)",
567,12.2,12.2,87.8,"Reichenbach im Kandertal (BE)",
571,20.3,20.3,79.7,"Beatenberg (BE)",
572,18.8,18.8,81.2,"Bönigen (BE)",
573,17,17,83,"Brienz (BE)",
574,14.8,14.8,85.2,"Brienzwiler (BE)",
575,17.6,17.6,82.4,"Därligen (BE)",
576,9,9,91,"Grindelwald (BE)",
577,16.9,16.9,83.1,"Gsteigwiler (BE)",
578,12.3,12.3,87.7,"Gündlischwand (BE)",
579,11,11,89,"Habkern (BE)",
580,12.2,12.2,87.8,"Hofstetten bei Brienz (BE)",
581,24.6,24.6,75.4,"Interlaken (BE)",
582,17.6,17.6,82.4,"Iseltwald (BE)",
584,12.8,12.8,87.2,"Lauterbrunnen (BE)",
585,18.2,18.2,81.8,"Leissigen (BE)",
586,10.4,10.4,89.6,"Lütschental (BE)",
587,18.4,18.4,81.6,"Matten bei Interlaken (BE)",
588,17.6,17.6,82.4,"Niederried bei Interlaken (BE)",
589,25.2,25.2,74.8,"Oberried am Brienzersee (BE)",
590,15.6,15.6,84.4,"Ringgenberg (BE)",
591,10,10,90,"Saxeten (BE)",
592,17,17,83,"Schwanden bei Brienz (BE)",
593,20.3,20.3,79.7,"Unterseen (BE)",
594,13.9,13.9,86.1,"Wilderswil (BE)",
602,10,10,90,"Arni (BE)",
603,19.3,19.3,80.7,"Biglen (BE)",
605,12.7,12.7,87.3,"Bowil (BE)",
606,14.7,14.7,85.3,"Brenzikofen (BE)",
607,9.1,9.1,90.9,"Freimettigen (BE)",
608,20.1,20.1,79.9,"Grosshöchstetten (BE)",
609,12.7,12.7,87.3,"Häutligen (BE)",
610,16.9,16.9,83.1,"Herbligen (BE)",
611,16.5,16.5,83.5,"Kiesen (BE)",
612,20.3,20.3,79.7,"Konolfingen (BE)",
613,11.7,11.7,88.3,"Landiswil (BE)",
614,9.9,9.9,90.1,"Linden (BE)",
615,12.6,12.6,87.4,"Mirchel (BE)",
616,29.2,29.2,70.8,"Münsingen (BE)",
617,22.2,22.2,77.8,"Niederhünigen (BE)",
619,19.3,19.3,80.7,"Oberdiessbach (BE)",
620,13.6,13.6,86.4,"Oberthal (BE)",
622,24.1,24.1,75.9,"Oppligen (BE)",
623,25.9,25.9,74.1,"Rubigen (BE)",
626,22.1,22.1,77.9,"Walkringen (BE)",
627,27.8,27.8,72.2,"Worb (BE)",
628,17.1,17.1,82.9,"Zäziwil (BE)",
630,15.3,15.3,84.7,"Allmendingen (BE)",
632,19.5,19.5,80.5,"Wichtrach (BE)",
662,17.6,17.6,82.4,"Ferenbalm (BE)",
663,24.1,24.1,75.9,"Frauenkappelen (BE)",
665,19.2,19.2,80.8,"Gurbrü (BE)",
666,14.5,14.5,85.5,"Kriechenwil (BE)",
667,26.4,26.4,73.6,"Laupen (BE)",
668,18.5,18.5,81.5,"Mühleberg (BE)",
669,16.5,16.5,83.5,"Villars-les-Moines (BE)",
670,21,21,79,"Neuenegg (BE)",
671,10.6,10.6,89.4,"Wileroltigen (BE)",
681,29.4,29.4,70.6,"Belprahon (BE)",
683,4.5,4.5,95.5,"Champoz (BE)",
687,6.4,6.4,93.6,"Corcelles (BE)",
690,16.7,16.7,83.3,"Court (BE)",
691,25.2,25.2,74.8,"Crémines (BE)",
692,20.3,20.3,79.7,"Eschert (BE)",
694,16.7,16.7,83.3,"Grandval (BE)",
696,17.9,17.9,82.1,"Loveresse (BE)",
700,32.3,32.3,67.7,"Moutier (BE)",
701,11.5,11.5,88.5,"Perrefitte (BE)",
703,17.8,17.8,82.2,"Reconvilier (BE)",
704,8.1,8.1,91.9,"Roches (BE)",
706,15,15,85,"Saicourt (BE)",
707,21.4,21.4,78.6,"Saules (BE)",
708,50,50,50,"La Scheulte (BE)",
709,23.5,23.5,76.5,"Seehof (BE)",
711,31.7,31.7,68.3,"Sorvilier (BE)",
713,23.3,23.3,76.7,"Tavannes (BE)",
715,26.3,26.3,73.7,"Rebévelier (BE)",
716,30.3,30.3,69.7,"Petit-Val (BE)",
717,18.6,18.6,81.4,"Valbirse (BE)",
723,33.1,33.1,66.9,"La Neuveville (BE)",
724,18.6,18.6,81.4,"Nods (BE)",
726,25.6,25.6,74.4,"Plateau de Diesse (BE)",
731,18.1,18.1,81.9,"Aegerten (BE)",
732,15.6,15.6,84.4,"Bellmund (BE)",
733,27.5,27.5,72.5,"Brügg (BE)",
734,18.7,18.7,81.3,"Bühl (BE)",
735,8.7,8.7,91.3,"Epsach (BE)",
736,18.8,18.8,81.2,"Hagneck (BE)",
737,19.8,19.8,80.2,"Hermrigen (BE)",
738,17.1,17.1,82.9,"Jens (BE)",
739,22.3,22.3,77.7,"Ipsach (BE)",
740,28.6,28.6,71.4,"Gléresse (BE)",
741,21.9,21.9,78.1,"Merzligen (BE)",
742,10,10,90,"Mörigen (BE)",
743,37.5,37.5,62.5,"Nidau (BE)",
744,18.8,18.8,81.2,"Orpund (BE)",
745,18.9,18.9,81.1,"Port (BE)",
746,15.1,15.1,84.9,"Safnern (BE)",
747,19.5,19.5,80.5,"Scheuren (BE)",
748,6.6,6.6,93.4,"Schwadernau (BE)",
749,13,13,87,"Studen (BE)",
750,19.6,19.6,80.4,"Sutz-Lattrigen (BE)",
751,20.2,20.2,79.8,"Täuffelen (BE)",
754,12.1,12.1,87.9,"Walperswil (BE)",
755,17.4,17.4,82.6,"Worben (BE)",
