"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,22.5,22.5,77.5,"Glarus Nord GL","Keine Mehrheit für die Umweltverantwortungsinitiative in Glarus Nord: Mit 2'918 Nein-Stimmen zu 846 Ja-Stimmen oder 77,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Glarus Nord hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Glarus."
1631,22.5,22.5,77.5,"Glarus Süd GL","Nein zur Umweltverantwortungsinitiative in Glarus Süd: Die Gemeinde hat die Vorlage mit 77,5 Prozent abgelehnt. Glarus Süd hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1632,27.8,27.8,72.2,"Glarus GL","Glarus hat die Umweltverantwortungsinitiative mit 72,2 Prozent abgelehnt."
