"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,67.8,67.8,32.2,"Aarberg (BE)",
302,67.9,67.9,32.1,"Bargen (BE)",
303,67.7,67.7,32.3,"Grossaffoltern (BE)",
304,63.4,63.4,36.6,"Kallnach (BE)",
305,56.7,56.7,43.3,"Kappelen (BE)",
306,68.5,68.5,31.5,"Lyss (BE)",
307,67.2,67.2,32.8,"Meikirch (BE)",
309,70.7,70.7,29.3,"Radelfingen (BE)",
310,63.5,63.5,36.5,"Rapperswil (BE)",
311,66.1,66.1,33.9,"Schüpfen (BE)",
312,66.7,66.7,33.3,"Seedorf (BE)",
321,66.3,66.3,33.7,"Aarwangen (BE)",
322,54.5,54.5,45.5,"Auswil (BE)",
323,63,63,37,"Bannwil (BE)",
324,63.3,63.3,36.7,"Bleienbach (BE)",
325,50.8,50.8,49.2,"Busswil bei Melchnau (BE)",
326,53.1,53.1,46.9,"Gondiswil (BE)",
329,68.3,68.3,31.7,"Langenthal (BE)",
331,62.9,62.9,37.1,"Lotzwil (BE)",
332,63.9,63.9,36.1,"Madiswil (BE)",
333,61.5,61.5,38.5,"Melchnau (BE)",
335,63.9,63.9,36.1,"Oeschenbach (BE)",
336,52.5,52.5,47.5,"Reisiswil (BE)",
337,66.7,66.7,33.3,"Roggwil (BE)",
338,56.4,56.4,43.6,"Rohrbach (BE)",
339,55.8,55.8,44.2,"Rohrbachgraben (BE)",
340,93.3,93.3,6.7,"Rütschelen (BE)",
341,55.5,55.5,44.5,"Schwarzhäusern (BE)",
342,61.9,61.9,38.1,"Thunstetten (BE)",
344,59,59,41,"Ursenbach (BE)",
345,54,54,46,"Wynau (BE)",
351,70.9,70.9,29.1,"Berna (BE)",
352,73.6,73.6,26.4,"Bolligen (BE)",
353,72.9,72.9,27.1,"Bremgarten bei Bern (BE)",
354,68.4,68.4,31.6,"Kirchlindach (BE)",
355,72.7,72.7,27.3,"Köniz (BE)",
356,70.9,70.9,29.1,"Muri bei Bern (BE)",
357,59.9,59.9,40.1,"Oberbalm (BE)",
358,67,67,33,"Stettlen (BE)",
359,70.8,70.8,29.2,"Vechigen (BE)",
360,70.4,70.4,29.6,"Wohlen bei Bern (BE)",
