"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3681,27.6,27.6,72.4,"Avers (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Avers, dove i ""no"" sono stati 42 e i voti favorevoli 16. Avers ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3695,22.4,22.4,77.6,"Sufers (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Sufers, dove i ""no"" sono stati 38 e i voti favorevoli 11. Sufers ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3701,31.7,31.7,68.3,"Andeer (GR)","Gli abitanti di Andeer hanno respinto l'iniziativa per la resposanbilità ambientale con il 68,3 per cento di ""no"". Andeer ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3711,25,25,75,"Rongellen (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Rongellen, dove i ""no"" sono stati 12 e i voti favorevoli 4. Rongellen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3712,20.2,20.2,79.8,"Zillis-Reischen (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Zillis-Reischen, dove i ""no"" sono stati 79 e i voti favorevoli 20. Zillis-Reischen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3713,13.6,13.6,86.4,"Ferrera (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Ferrera, dove è stata respinta con 19 voti contro i 3 a favore. Ferrera ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3714,14,14,86,"Rheinwald (GR)","I cittadini di Rheinwald hanno respinto l'iniziativa per la resposanbilità ambientale con il 86 per cento di voti contrari. Rheinwald ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3715,32.7,32.7,67.3,"Muntogna da Schons (GR)","Nel comune di Muntogna da Schons, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 67,3 per cento di voti contrari. Muntogna da Schons ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3721,29,29,71,"Bonaduz (GR)","Nel comune di Bonaduz, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 71 per cento di voti contrari. Bonaduz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3722,23.7,23.7,76.3,"Domat/Ems (GR)","I cittadini di Domat/Ems hanno respinto l'iniziativa per la resposanbilità ambientale con il 76,3 per cento di voti contrari. Domat/Ems ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3723,27.2,27.2,72.8,"Rhäzüns (GR)","A Rhäzüns gli abitanti si sono opposti al potenziamento delle strade nazionali con il 72,8 per cento di voti a sfavore. Rhäzüns ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3731,28,28,72,"Felsberg (GR)","I cittadini di Felsberg hanno respinto l'iniziativa per la resposanbilità ambientale con il 72 per cento di voti contrari. Felsberg ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3732,21.1,21.1,78.9,"Flims (GR)","I cittadini di Flims hanno respinto l'iniziativa per la resposanbilità ambientale con il 78,9 per cento di voti contrari. Flims ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3733,32.9,32.9,67.1,"Tamins (GR)","Nel comune di Tamins, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 67,1 per cento di voti contrari. Tamins ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3734,42,42,58,"Trin (GR)","Il 58 per cento degli elettori di Trin ha respinto l'iniziativa per la resposanbilità ambientale."
3746,25.8,25.8,74.2,"Zernez (GR)","Nel comune di Zernez, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 74,2 per cento di voti contrari. Zernez ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3752,11.9,11.9,88.1,"Samnaun (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Samnaun, dove ha riscosso il 88,1 per cento di ""no"". Samnaun ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3762,34.1,34.1,65.9,"Scuol (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Scuol, dove ha riscosso il 65,9 per cento di ""no"". Scuol ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3764,30.1,30.1,69.9,"Valsot (GR)","I cittadini di Valsot hanno respinto l'iniziativa per la resposanbilità ambientale con il 69,9 per cento di voti contrari. Valsot ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3781,36.1,36.1,63.9,"Bever (GR)","Gli elettori di Bever si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 63,9 per cento di voti contrari. Bever ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3782,16.2,16.2,83.8,"Celerina/Schlarigna (GR)","Nel comune di Celerina/Schlarigna, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 83,8 per cento di voti contrari. Celerina/Schlarigna ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3783,26.3,26.3,73.7,"Madulain (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Madulain, dove è stata respinta con 42 voti contro i 15 a favore. Madulain ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3784,20.4,20.4,79.6,"Pontresina (GR)","A Pontresina gli abitanti si sono opposti al potenziamento delle strade nazionali con il 79,6 per cento di voti a sfavore. Pontresina ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3785,18.9,18.9,81.1,"La Punt-Chamues-ch (GR)","I cittadini di La Punt-Chamues-ch hanno respinto l'iniziativa per la resposanbilità ambientale con il 81,1 per cento di voti contrari. La Punt-Chamues-ch ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3786,23.7,23.7,76.3,"Samedan (GR)","Nel comune di Samedan, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 76,3 per cento di voti contrari. Samedan ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3787,17.7,17.7,82.3,"St. Moritz (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a St. Moritz, dove ha riscosso il 82,3 per cento di ""no"". St. Moritz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3788,27.4,27.4,72.6,"S-chanf (GR)","Nel comune di S-chanf, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 72,6 per cento di voti contrari. S-chanf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3789,22.2,22.2,77.8,"Sils im Engadin/Segl (GR)","I cittadini di Sils im Engadin/Segl hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,8 per cento di voti contrari. Sils im Engadin/Segl ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3790,21.1,21.1,78.9,"Silvaplana (GR)","Nel comune di Silvaplana, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 78,9 per cento di voti contrari. Silvaplana ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3791,22.7,22.7,77.3,"Zuoz (GR)","Gli abitanti di Zuoz hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,3 per cento di ""no"". Zuoz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3792,22.5,22.5,77.5,"Bregaglia (GR)","A Bregaglia gli abitanti si sono opposti al potenziamento delle strade nazionali con il 77,5 per cento di voti a sfavore. Bregaglia ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3804,7.7,7.7,92.3,"Buseno (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Buseno, dove i ""no"" sono stati 36 e i voti favorevoli 3. Buseno ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3805,30.5,30.5,69.5,"Castaneda (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Castaneda, dove è stata respinta con 57 voti contro i 25 a favore. Castaneda ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3808,17.3,17.3,82.7,"Rossa (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Rossa, dove è stata respinta con 62 voti contro i 13 a favore. Rossa ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3810,29.6,29.6,70.4,"Santa Maria in Calanca (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Santa Maria in Calanca, dove è stata respinta con 19 voti contro i 8 a favore. Santa Maria in Calanca ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3821,28.1,28.1,71.9,"Lostallo (GR)","Il 71,9 per cento degli elettori di Lostallo ha respinto l'iniziativa per la resposanbilità ambientale. Lostallo ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3822,23.2,23.2,76.8,"Mesocco (GR)","Il 76,8 per cento degli elettori di Mesocco ha respinto l'iniziativa per la resposanbilità ambientale. Mesocco ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3823,13.6,13.6,86.4,"Soazza (GR)","Nel comune di Soazza, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 86,4 per cento di voti contrari. Soazza ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3831,16.7,16.7,83.3,"Cama (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Cama, dove è stata respinta con 70 voti contro i 14 a favore. Cama ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3832,32.8,32.8,67.2,"Grono (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Grono, dove ha riscosso il 67,2 per cento di ""no"". Grono ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3834,25.9,25.9,74.1,"Roveredo (GR)","Gli abitanti di Roveredo GR hanno respinto l'iniziativa per la resposanbilità ambientale con il 74,1 per cento di ""no"". Roveredo GR ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3835,21.5,21.5,78.5,"San Vittore (GR)","Il 78,5 per cento degli elettori di San Vittore ha respinto l'iniziativa per la resposanbilità ambientale. San Vittore ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3837,18,18,82,"Calanca (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Calanca, dove i ""no"" sono stati 50 e i voti favorevoli 11. Calanca ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3847,20.2,20.2,79.8,"Val Müstair (GR)","I cittadini di Val Müstair hanno respinto l'iniziativa per la resposanbilità ambientale con il 79,8 per cento di voti contrari. Val Müstair ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3851,26,26,74,"Davos (GR)","Gli abitanti di Davos hanno respinto l'iniziativa per la resposanbilità ambientale con il 74 per cento di ""no"". Davos ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3861,31.2,31.2,68.8,"Fideris (GR)","Gli abitanti di Fideris hanno respinto l'iniziativa per la resposanbilità ambientale con il 68,8 per cento di ""no"". Fideris ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3862,6,6,94,"Furna (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Furna, dove è stata respinta con 47 voti contro i 3 a favore. Il maggior numero di ""no"" nel canton Grigioni è stato ottenuto a Furna."
3863,19.5,19.5,80.5,"Jenaz (GR)","Il 80,5 per cento degli elettori di Jenaz ha respinto l'iniziativa per la resposanbilità ambientale. Jenaz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3871,10.9,10.9,89.1,"Klosters-Serneus (GR)","A Klosters-Serneus gli abitanti si sono opposti al potenziamento delle strade nazionali con il 89,1 per cento di voti a sfavore. Klosters-Serneus ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3881,35.5,35.5,64.5,"Conters im Prättigau (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Conters im Prättigau, dove i ""no"" sono stati 40 e i voti favorevoli 22. Conters im Prättigau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3882,24.7,24.7,75.3,"Küblis (GR)","Nel comune di Küblis, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 75,3 per cento di voti contrari. Küblis ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3891,22.5,22.5,77.5,"Luzein (GR)","Gli abitanti di Luzein hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,5 per cento di ""no"". Luzein ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3901,33.2,33.2,66.8,"Coira (GR)","A Coira gli abitanti si sono opposti al potenziamento delle strade nazionali con il 66,8 per cento di voti a sfavore. Coira ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3911,27.3,27.3,72.7,"Churwalden (GR)","A Churwalden gli abitanti si sono opposti al potenziamento delle strade nazionali con il 72,7 per cento di voti a sfavore. Churwalden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3921,20.7,20.7,79.3,"Arosa (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Arosa, dove ha riscosso il 79,3 per cento di ""no"". Arosa ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3945,21.8,21.8,78.2,"Trimmis (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Trimmis, dove ha riscosso il 78,2 per cento di ""no"". Trimmis ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3946,22.9,22.9,77.1,"Untervaz (GR)","Nel comune di Untervaz, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,1 per cento di voti contrari. Untervaz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3947,26.3,26.3,73.7,"Zizers (GR)","Gli elettori di Zizers si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 73,7 per cento di voti contrari. Zizers ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3951,23.5,23.5,76.5,"Fläsch (GR)","Il 76,5 per cento degli elettori di Fläsch ha respinto l'iniziativa per la resposanbilità ambientale. Fläsch ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3952,27.3,27.3,72.7,"Jenins (GR)","Nel comune di Jenins, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 72,7 per cento di voti contrari. Jenins ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3953,21.8,21.8,78.2,"Maienfeld (GR)","I cittadini di Maienfeld hanno respinto l'iniziativa per la resposanbilità ambientale con il 78,2 per cento di voti contrari. Maienfeld ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3954,36.3,36.3,63.7,"Malans (GR)","Il 63,7 per cento degli elettori di Malans ha respinto l'iniziativa per la resposanbilità ambientale. Malans ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3955,24.4,24.4,75.6,"Landquart (GR)","Gli abitanti di Landquart hanno respinto l'iniziativa per la resposanbilità ambientale con il 75,6 per cento di ""no"". Landquart ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3961,21.9,21.9,78.1,"Grüsch (GR)","I cittadini di Grüsch hanno respinto l'iniziativa per la resposanbilità ambientale con il 78,1 per cento di voti contrari. Grüsch ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3962,24.9,24.9,75.1,"Schiers (GR)","Nel comune di Schiers, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 75,1 per cento di voti contrari. Schiers ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3972,28.4,28.4,71.6,"Seewis im Prättigau (GR)","Il 71,6 per cento degli elettori di Seewis im Prättigau ha respinto l'iniziativa per la resposanbilità ambientale. Seewis im Prättigau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3981,22,22,78,"Breil/Brigels (GR)","Gli elettori di Breil/Brigels si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 78 per cento di voti contrari. Breil/Brigels ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3982,15.9,15.9,84.1,"Disentis/Mustér (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Disentis/Mustér, dove ha riscosso il 84,1 per cento di ""no"". Disentis/Mustér ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3983,21.9,21.9,78.1,"Medel (Lucmagn) (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Medel (Lucmagn), dove è stata respinta con 75 voti contro i 21 a favore. Medel (Lucmagn) ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3985,22.3,22.3,77.7,"Sumvitg (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Sumvitg, dove ha riscosso il 77,7 per cento di ""no"". Sumvitg ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3986,19.6,19.6,80.4,"Tujetsch (GR)","A Tujetsch gli abitanti si sono opposti al potenziamento delle strade nazionali con il 80,4 per cento di voti a sfavore. Tujetsch ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3987,21.6,21.6,78.4,"Trun (GR)","Gli abitanti di Trun hanno respinto l'iniziativa per la resposanbilità ambientale con il 78,4 per cento di ""no"". Trun ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3988,15.6,15.6,84.4,"Obersaxen Mundaun (GR)","I cittadini di Obersaxen Mundaun hanno respinto l'iniziativa per la resposanbilità ambientale con il 84,4 per cento di voti contrari. Obersaxen Mundaun ha respinto il testo, risultato che si è confermato anche a livello cantonale."
